T,input_acc,W1,W2,W3,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
12.829999999999771,9.58080927834425,-0.0012116563458962784,-0.0002450544470813714,-0.0001288791197873647,0.0,0.0,0.9221175004701212,0.0,0.0,-0.10699882456421833,0.0,0.0,0.0,-2.3412351774542333e-07,-4.744259264444361e-08,-7.674165525581477e-12,-2.3412351774542333e-07,-4.744259264444361e-08,-7.674165525581477e-12
12.83999999999977,9.58067840014344,-0.0012113534271603365,-0.00024499026613485113,-0.00012887671771956574,0.0,0.0,0.9210428593398867,0.0,0.0,-0.10792962996312216,0.0,0.0,0.0,-2.2247294233192792e-07,-4.5079982914957537e-08,-7.282723151472105e-12,-2.2247294233192792e-07,-4.5079982914957537e-08,-7.282723151472105e-12
12.84999999999977,9.58055426785227,-0.0012110565220287538,-0.00024492742671759993,-0.0001288743941965911,0.0,0.0,0.9199589034151225,0.0,0.0,-0.10886177207304532,0.0,0.0,0.0,-2.1079855061930876e-07,-4.2712733147851445e-08,-6.891400786707052e-12,-2.1079855061930876e-07,-4.2712733147851445e-08,-6.891400786707052e-12
12.85999999999977,9.58043690930647,-0.0012107656220328865,-0.0002448659276958054,-0.00012887214967760346,0.0,0.0,0.9188656196711177,0.0,0.0,-0.10979518236591107,0.0,0.0,0.0,-1.991029018233536e-07,-4.034136214121226e-08,-6.500304075330765e-12,-1.991029018233536e-07,-4.034136214121226e-08,-6.500304075330765e-12
12.86999999999977,9.58032635127922,-0.0012104807181322526,-0.00024480576780173166,-0.00012886998461007502,0.0,0.0,0.9177629957698734,0.0,0.0,-0.11072979202895827,0.0,0.0,0.0,-1.873885559979794e-07,-3.796638874677689e-08,-6.1095378287777785e-12,-1.873885559979794e-07,-3.796638874677689e-08,-6.1095378287777785e-12
12.87999999999977,9.580222619469648,-0.0012102018007173804,-0.00024474694563414494,-0.0001288678994295976,0.0,0.0,0.9166510200628977,0.0,0.0,-0.11166553197554047,0.0,0.0,0.0,-1.756580735402601e-07,-3.558833176912376e-08,-5.719205997437668e-12,-1.756580735402601e-07,-3.558833176912376e-08,-5.719205997437668e-12
12.88999999999977,9.580125738491317,-0.001209928859612662,-0.00024468945965869677,-0.00012886589455978623,0.0,0.0,0.9155296815938883,0.0,0.0,-0.11260233285604265,0.0,0.0,0.0,-1.6391401470412755e-07,-3.3207709866685354e-08,-5.329411643207635e-12,-1.6391401470412755e-07,-3.3207709866685354e-08,-5.329411643207635e-12
12.89999999999977,9.580035731860756,-0.0012096618840791603,-0.0002446333082082762,-0.0001288639704120321,0.0,0.0,0.9143989701013087,0.0,0.0,-0.11354012506891509,0.0,0.0,0.0,-1.521589391229053e-07,-3.082504145461567e-08,-4.9402569130362736e-12,-1.521589391229053e-07,-3.082504145461567e-08,-4.9402569130362736e-12
12.90999999999977,9.579952621985964,-0.0012094008628174466,-0.0002445784894834223,-0.00012886212738546815,0.0,0.0,0.9132588760208511,0.0,0.0,-0.11447883877182352,0.0,0.0,0.0,-1.4039540534086268e-07,-2.844084460955058e-08,-4.551843013462363e-12,-1.4039540534086268e-07,-2.844084460955058e-08,-4.551843013462363e-12
12.919999999999769,9.579876430154881,-0.001209145783970484,-0.0002445250015527184,-0.0001288603658667845,0.0,0.0,0.9121093904877874,0.0,0.0,-0.1154184038929168,0.0,0.0,0.0,-1.2862597035390093e-07,-2.6055636976284532e-08,-4.1642701861495155e-12,-1.2862597035390093e-07,-2.6055636976284532e-08,-4.1642701861495155e-12
12.929999999999769,9.579807176523932,-0.0012088966351264563,-0.0002444728423531702,-0.00012885868623009207,0.0,0.0,0.9109505053392091,0.0,0.0,-0.11635875014221175,0.0,0.0,0.0,-1.1685318915948996e-07,-2.3669935676388828e-08,-3.777637684417357e-12,-1.1685318915948996e-07,-2.3669935676388828e-08,-3.777637684417357e-12
12.939999999999769,9.579744880106484,-0.0012086534033216361,-0.0002444220096905762,-0.00012885708883675148,0.0,0.0,0.9097822131161497,0.0,0.0,-0.1172998070230944,0.0,0.0,0.0,-1.0507961431602402e-07,-2.1284257218805475e-08,-3.392043750770745e-12,-1.0507961431602402e-07,-2.1284257218805475e-08,-3.392043750770745e-12
12.949999999999768,9.579689558761388,-0.001208416075043236,-0.0002443725012399664,-0.00012885557403531243,0.0,0.0,0.9086045070655936,0.0,0.0,-0.11824150384393939,0.0,0.0,0.0,-9.330779551174774e-08,-1.889911741244857e-08,-3.007585595427747e-12,-9.330779551174774e-08,-1.889911741244857e-08,-3.007585595427747e-12
12.959999999999768,9.579641229181446,-0.0012081846362323257,-0.00024432431454595886,-0.00012885414216127152,0.0,0.0,0.9074173811423685,0.0,0.0,-0.11918376972984429,0.0,0.0,0.0,-8.154027914327893e-08,-1.651503128081869e-08,-2.6243593758423873e-12,-8.154027914327893e-08,-1.651503128081869e-08,-2.6243593758423873e-12
12.969999999999768,9.579599906881915,-0.0012079590722866619,-0.00024427744702316425,-0.00012885279353700314,0.0,0.0,0.9062208300109167,0.0,0.0,-0.120126533634484,0.0,0.0,0.0,-6.977960790395863e-08,-1.413251297867787e-08,-2.2424601772243426e-12,-6.977960790395863e-08,-1.413251297867787e-08,-2.2424601772243426e-12
12.979999999999768,9.579565606189016,-0.00120773936806357,-0.00024423189595657735,-0.00012885152847158833,0.0,0.0,0.9050148490469524,0.0,0.0,-0.12106972435207863,0.0,0.0,0.0,-5.802832038209653e-08,-1.1752075710799269e-08,-1.8619819940520512e-12,-5.802832038209653e-08,-1.1752075710799269e-08,-1.8619819940520512e-12
12.989999999999768,9.579538340228416,-0.001207525507882849,-0.00024418765850198025,-0.00012885034726066148,0.0,0.0,0.9037994343389941,0.0,0.0,-0.12201327052948124,0.0,0.0,0.0,-4.6288950669210817e-08,-9.374231652812363e-09,-1.483017712576265e-12,-4.6288950669210817e-08,-9.374231652812363e-09,-1.483017712576265e-12
12.999999999999767,9.579518120913715,-0.0012073174755296767,-0.00024414473168631707,-0.00012884925018633725,0.0,0.0,0.9025745826897775,0.0,0.0,-0.122957100678382,0.0,0.0,0.0,-3.456402797841225e-08,-6.9994918741742524e-09,-1.1056590943121983e-12,-3.456402797841225e-08,-6.9994918741742524e-09,-1.1056590943121983e-12
13.009999999999767,9.579504958934963,-0.0012071152542574358,-0.00024410311240811547,-0.00012884823751697282,0.0,0.0,0.9013402916175465,0.0,0.0,-0.12390114318762724,0.0,0.0,0.0,-2.2856076272959372e-08,-4.628366263273145e-09,-7.299967605141208e-13,-2.2856076272959372e-08,-4.628366263273145e-09,-7.299967605141208e-13
13.019999999999767,9.579498863747133,-0.0012069188267906708,-0.00024406279743787926,-0.0001288473095070816,0.0,0.0,0.9000965593572183,0.0,0.0,-0.12484532633565865,0.0,0.0,0.0,-1.1167613905216512e-08,-2.261363454711319e-09,-3.5612017763234034e-13,-1.1167613905216512e-08,-2.261363454711319e-09,-3.5612017763234034e-13
